gene,systematicName,intensity
SSA1,YAL005C,11.9063962558502
ERP2,YAL007C,0.299776286353468
FUN14,YAL008W,0.455913978494624
SPO7,YAL009W,0.0270895275850677
MDM10,YAL010C,
SWC3,YAL011W,0.0319410319410319
CYS3,YAL012W,0.583591864874181
DEP1,YAL013W,0.0405186385737439
SYN8,YAL014C,0.0108049702863317
NTG1,YAL015C,0.0135908440629471
,YAL016C-B,0.00169204737732657
TPD3,YAL016W,0.474269005847953
PSK1,YAL017W,0.0417391304347826
FUN30,YAL019W,0.0199004975124378
ATS1,YAL020C,0.0127758420441347
CCR4,YAL021C,0.121578099838969
FUN26,YAL022C,0.00397614314115308
PMT2,YAL023C,0.348111658456486
LTE1,YAL024C,0.0065947242206235
DRS2,YAL026C,0.0583941605839416
SAW1,YAL027W,0.012924071082391
MYO4,YAL029C,0.000550055005500551
GIP4,YAL031C,0.0405797101449275
PRP45,YAL032C,0.0184275184275184
POP5,YAL033W,0.0277777777777778
MTW1,YAL034W-A,0.0174520069808028
FUN12,YAL035W,0.792982456140351
RBG1,YAL036C,0.062047569803516
,YAL037C-A,0.0123131046613896
CYC3,YAL039C,0.0602693602693603
CDC24,YAL041W,0.0383693045563549
ERV46,YAL042W,0.00593667546174143
PTA1,YAL043C,0.0638481449525453
GCV3,YAL044C,1.98518518518519
,YAL044W-A,0.161609498680739
,YAL045C,0.00846023688663283
AIM1,YAL046C,0.195029713668287
SPC72,YAL047C,0.0179487179487179
GEM1,YAL048C,0.00486223662884927
AIM2,YAL049C,0.541327913279133
OAF1,YAL051W,0.0110529377545084
FLC2,YAL053W,0.084155161078238
ACS1,YAL054C,2.06107749927975
PEX22,YAL055W,0.0705368289637952
GPB2,YAL056W,0.0264663805436338
CNE1,YAL058W,0.0229885057471264
ECM1,YAL059W,0.085995085995086
BDH1,YAL060W,0.37576728049106
BDH2,YAL061W,0.442043222003929
GDH3,YAL062W,0.154511075094543
FLO9,YAL063C,0.000509683995922529
,YAL063C-A,0.000540248514316586
TDA8,YAL064C-A,-0.00216099405726634
,YAL064W,-0.000540248514316586
,YAL064W-B,0.0
,YAL065C,0.000540248514316586
,YAL066W,0.000846023688663283
SEO1,YAL067C,0.00108049702863317
,YAL067W-A,0.00216099405726634
PAU8,YAL068C,0.00617283950617284
,YAL069W,0.0
ERP1,YAR002C-A,0.15598609041232
NUP60,YAR002W,0.07228391029828
SWD1,YAR003W,0.0214876033057851
RFA1,YAR007C,0.287504896200548
ADE1,YAR015W,0.643745907007204
KIN3,YAR018C,0.0216099405726634
CDC15,YAR019C,0.0112657388999337
PAU7,YAR020C,1.15648231731787e-18
,YAR023C,0.00108049702863317
UIP3,YAR027W,0.0847084708470847
,YAR028W,0.0308529945553539
,YAR029W,0.000220458553791887
PRM9,YAR031W,0.00101936799184505
MST28,YAR033W,0.186385737439222
,YAR035C-A,0.00486223662884927
SWH1,YAR042W,0.00479233226837061
,YAR047C,0.000551876379690947
FLO1,YAR050W,0.0
,YAR053W,0.000551876379690951
,YAR060C,0.000509683995922528
,YAR064W,-0.000540248514316587
,YAR068W,-0.000509683995922529
,YAR069C,0.000509683995922528
,YAR070C,-0.00101936799184506
PHO11,YAR071W,0.00162074554294976
IMD1,YAR073W,1.15645878862489e-18
,YAR075W,0.0135363790186125
ECM15,YBL001C,1.35952848722986
HTB2,YBL002W,2.8263130525221
HTA2,YBL003C,2.30898140874574
UTP20,YBL004W,0.00835354351926705
PDR3,YBL005W,0.00449101796407186
LDB7,YBL006C,0.0486223662884927
SLA1,YBL007C,0.382905982905983
,YBL008W-A,0.00108049702863317
ALK2,YBL009W,0.0248514316585629
,YBL010C,0.0280701754385965
SCT1,YBL011W,0.0508849557522124
FMT1,YBL013W,0.0312151616499443
RRN6,YBL014C,0.00547008547008547
ACH1,YBL015W,4.78533755274262
FUS3,YBL016W,0.139767932489451
PEP1,YBL017C,0.20367610531545
POP8,YBL018C,0.057625434674615
