gene,goId
AAC1,"['GO:0005471', 'GO:0006783', 'GO:0006783', 'GO:0006839', 'GO:0009060', 'GO:0015886', 'GO:0005743', 'GO:0015297', 'GO:0005739', 'GO:0005743', 'GO:0005743', 'GO:0016020', 'GO:0016021', 'GO:0005739', 'GO:0005739', 'GO:0005739', 'GO:0005471', 'GO:0005471', 'GO:0005471', 'GO:0005471', 'GO:0055085', 'GO:0005743', 'GO:0005471', 'GO:0140021', 'GO:1990544']"
AAC3,"['GO:0005471', 'GO:0005471', 'GO:0009061', 'GO:0009061', 'GO:0009061', 'GO:0015886', 'GO:0055085', 'GO:0055085', 'GO:0005743', 'GO:0005743', 'GO:0005739', 'GO:0015297', 'GO:0005739', 'GO:0005743', 'GO:0005743', 'GO:0016020', 'GO:0016021', 'GO:0055085', 'GO:0005743', 'GO:0005471', 'GO:0005471', 'GO:0005471', 'GO:0005471', 'GO:0005471', 'GO:0140021', 'GO:1990544']"
AAD10,"['GO:0047681', 'GO:0006081', 'GO:0005575', 'GO:0047834', 'GO:0016491']"
AAD14,"['GO:0047681', 'GO:0047681', 'GO:0006081', 'GO:0005575', 'GO:0047834', 'GO:0016491']"
AAD15,"['GO:0047681', 'GO:0006081', 'GO:0005575', 'GO:0047834', 'GO:0016491']"
AAD3,"['GO:0047681', 'GO:0006081', 'GO:0005575', 'GO:0016491', 'GO:0047834']"
AAD4,"['GO:0047681', 'GO:0047681', 'GO:0006081', 'GO:0005575', 'GO:0047834', 'GO:0016491']"
AAH1,"['GO:0000034', 'GO:0000034', 'GO:0000034', 'GO:0006146', 'GO:0006146', 'GO:0043101', 'GO:0043101', 'GO:0043103', 'GO:0043103', 'GO:0005634', 'GO:0005737', 'GO:0000034', 'GO:0000034', 'GO:0016787', 'GO:0046872', 'GO:0009117', 'GO:0005634', 'GO:0005634', 'GO:0005737', 'GO:0005737', 'GO:0000034', 'GO:0000034', 'GO:0000034', 'GO:0000034', 'GO:0000034', 'GO:0000034', 'GO:0006146', 'GO:0006146', 'GO:0006146', 'GO:0006146', 'GO:0043103', 'GO:0043103', 'GO:0043103', 'GO:0043103', 'GO:0005634', 'GO:0005737', 'GO:0008270', 'GO:0019239', 'GO:0019239', 'GO:0019239', 'GO:0006146', 'GO:0006146', 'GO:0009168']"
AAP1,"['GO:0005977', 'GO:0006508', 'GO:0005737', 'GO:0005737', 'GO:0005737', 'GO:0005737', 'GO:0005737', 'GO:0005737', 'GO:0005737', 'GO:0005737', 'GO:0005737', 'GO:0005737', 'GO:0005737', 'GO:0005737', 'GO:0005737', 'GO:0005737', 'GO:0005634', 'GO:0005737', 'GO:0004177', 'GO:0008233', 'GO:0008237', 'GO:0016787', 'GO:0046872', 'GO:0006508', 'GO:0008237', 'GO:0008270', 'GO:0006508', 'GO:0008270', 'GO:0008270', 'GO:0008270', 'GO:0042277', 'GO:0042277', 'GO:0042277', 'GO:0043171', 'GO:0043171', 'GO:0043171', 'GO:0043171', 'GO:0043171', 'GO:0043171', 'GO:0006508', 'GO:0006508', 'GO:0006508', 'GO:0006508', 'GO:0006508', 'GO:0006508', 'GO:0006508', 'GO:0006508', 'GO:0070006', 'GO:0070006', 'GO:0070006', 'GO:0070006', 'GO:0070006']"
AAR2,"['GO:0003674', 'GO:0000244', 'GO:0005682', 'GO:0006397', 'GO:0008380', 'GO:0005634', 'GO:0005634', 'GO:0005737', 'GO:0005737', 'GO:0000244', 'GO:0000244']"
