Gene,pathways
SSA1,"['PATHWAY     sce03040  Spliceosome', 'sce04141  Protein processing in endoplasmic reticulum', 'sce04144  Endocytosis', 'sce04213  Longevity regulating pathway - multiple species']"
MDM10,['PATHWAY     sce04139  Mitophagy - yeast']
CYS3,"['PATHWAY     sce00260  Glycine, serine and threonine metabolism', 'sce00270  Cysteine and methionine metabolism', 'sce00450  Selenocompound metabolism', 'sce01100  Metabolic pathways', 'sce01110  Biosynthesis of secondary metabolites', 'sce01230  Biosynthesis of amino acids']"
SYN8,['PATHWAY     sce04130  SNARE interactions in vesicular transport']
NTG1,['PATHWAY     sce03410  Base excision repair']
TPD3,"['PATHWAY     sce03015  mRNA surveillance pathway', 'sce04111  Cell cycle - yeast', 'sce04113  Meiosis - yeast']"
CCR4,['PATHWAY     sce03018  RNA degradation']
PMT2,"['PATHWAY     sce00514  Other types of O-glycan biosynthesis', 'sce00515  Mannose type O-glycan biosynthesis', 'sce01100  Metabolic pathways']"
LTE1,['PATHWAY     sce04111  Cell cycle - yeast']
PRP45,['PATHWAY     sce03040  Spliceosome']
POP5,['PATHWAY     sce03008  Ribosome biogenesis in eukaryotes']
CYC3,"['PATHWAY     sce00860  Porphyrin and chlorophyll metabolism', 'sce01100  Metabolic pathways']"
CDC24,['PATHWAY     sce04011  MAPK signaling pathway - yeast']
PTA1,['PATHWAY     sce03015  mRNA surveillance pathway']
GCV3,"['PATHWAY     sce00260  Glycine, serine and threonine metabolism', 'sce00630  Glyoxylate and dicarboxylate metabolism', 'sce01100  Metabolic pathways', 'sce01110  Biosynthesis of secondary metabolites', 'sce01200  Carbon metabolism']"
ACS1,"['PATHWAY     sce00010  Glycolysis / Gluconeogenesis', 'sce00620  Pyruvate metabolism', 'sce00630  Glyoxylate and dicarboxylate metabolism', 'sce00640  Propanoate metabolism', 'sce00680  Methane metabolism', 'sce01100  Metabolic pathways', 'sce01110  Biosynthesis of secondary metabolites', 'sce01200  Carbon metabolism']"
CNE1,"['PATHWAY     sce04141  Protein processing in endoplasmic reticulum', 'sce04145  Phagosome']"
BDH1,['PATHWAY     sce00650  Butanoate metabolism']
BDH2,['PATHWAY     sce00650  Butanoate metabolism']
GDH3,"['PATHWAY     sce00220  Arginine biosynthesis', 'sce00250  Alanine, aspartate and glutamate metabolism', 'sce00910  Nitrogen metabolism', 'sce01100  Metabolic pathways']"
NUP60,['PATHWAY     sce03013  Nucleocytoplasmic transport']
RFA1,"['PATHWAY     sce03030  DNA replication', 'sce03420  Nucleotide excision repair', 'sce03430  Mismatch repair', 'sce03440  Homologous recombination']"
ADE1,"['PATHWAY     sce00230  Purine metabolism', 'sce01100  Metabolic pathways', 'sce01110  Biosynthesis of secondary metabolites']"
CDC15,"['PATHWAY     sce04111  Cell cycle - yeast', 'sce04113  Meiosis - yeast', 'sce04392  Hippo signaling pathway - multiple species']"
PHO11,"['PATHWAY     sce00730  Thiamine metabolism', 'sce00740  Riboflavin metabolism', 'sce01100  Metabolic pathways', 'sce04111  Cell cycle - yeast']"
SCT1,"['PATHWAY     sce00561  Glycerolipid metabolism', 'sce00564  Glycerophospholipid metabolism', 'sce01100  Metabolic pathways', 'sce01110  Biosynthesis of secondary metabolites']"
FMT1,"['PATHWAY     sce00670  One carbon pool by folate', 'sce00970  Aminoacyl-tRNA biosynthesis', 'sce01100  Metabolic pathways']"
ACH1,"['PATHWAY     sce00620  Pyruvate metabolism', 'sce01100  Metabolic pathways']"
FUS3,"['PATHWAY     sce04011  MAPK signaling pathway - yeast', 'sce04111  Cell cycle - yeast']"
POP8,['PATHWAY     sce03008  Ribosome biogenesis in eukaryotes']
APN2,['PATHWAY     sce03410  Base excision repair']
MCM2,"['PATHWAY     sce03030  DNA replication', 'sce04111  Cell cycle - yeast', 'sce04113  Meiosis - yeast']"
LSM2,"['PATHWAY     sce03018  RNA degradation', 'sce03040  Spliceosome']"
RPL19B,['PATHWAY     sce03010  Ribosome']
RIB1,"['PATHWAY     sce00740  Riboflavin metabolism', 'sce00790  Folate biosynthesis', 'sce01100  Metabolic pathways', 'sce01110  Biosynthesis of secondary metabolites', 'sce01240  Biosynthesis of cofactors']"
POL12,['PATHWAY     sce03030  DNA replication']
URA7,"['PATHWAY     sce00240  Pyrimidine metabolism', 'sce01100  Metabolic pathways', 'sce01240  Biosynthesis of cofactors']"
COR1,"['PATHWAY     sce00190  Oxidative phosphorylation', 'sce01100  Metabolic pathways']"
EDE1,['PATHWAY     sce04144  Endocytosis']
SHP1,['PATHWAY     sce04141  Protein processing in endoplasmic reticulum']
PRX1,"['PATHWAY     sce00480  Glutathione metabolism', 'sce01100  Metabolic pathways']"
PRS4,"['PATHWAY     sce00030  Pentose phosphate pathway', 'sce00230  Purine metabolism', 'sce01100  Metabolic pathways', 'sce01110  Biosynthesis of secondary metabolites', 'sce01200  Carbon metabolism', 'sce01230  Biosynthesis of amino acids']"
SSA3,"['PATHWAY     sce03040  Spliceosome', 'sce04141  Protein processing in endoplasmic reticulum', 'sce04144  Endocytosis', 'sce04213  Longevity regulating pathway - multiple species']"
ILS1,['PATHWAY     sce00970  Aminoacyl-tRNA biosynthesis']
ATG8,"['PATHWAY     sce04136  Autophagy - other', 'sce04138  Autophagy - yeast', 'sce04139  Mitophagy - yeast']"
NUP170,['PATHWAY     sce03013  Nucleocytoplasmic transport']
PET112,"['PATHWAY     sce00970  Aminoacyl-tRNA biosynthesis', 'sce01100  Metabolic pathways']"
ALG3,"['PATHWAY     sce00510  N-Glycan biosynthesis', 'sce00513  Various types of N-glycan biosynthesis', 'sce01100  Metabolic pathways']"
CDC27,"['PATHWAY     sce04111  Cell cycle - yeast', 'sce04113  Meiosis - yeast', 'sce04120  Ubiquitin mediated proteolysis']"
RPL23A,['PATHWAY     sce03010  Ribosome']
TEL1,['PATHWAY     sce03440  Homologous recombination']
BRN1,['PATHWAY     sce04111  Cell cycle - yeast']
